model_slug,provider_slug,API Provider,Model,Context Window,Function Calling,JSON Mode,OpenAI Compatible,License,API ID,Footnotes,Artificial Analysis Intelligence Index,Omniscience Index,GDPval-AA (Elo-500)/2000,AA-Briefcase,Terminal-Bench Hard,Terminal-Bench v2.1,𝜏²-Bench Telecom,𝜏³-Banking,AA-LCR,AA-Omniscience Accuracy,AA-Omniscience Non-Hallucination Rate,Humanity's Last Exam,GPQA Diamond,SciCode,IFBench,CritPt,APEX-Agents-AA,ITBench-AA,MMMU Pro,LiveCodeBench,AIME 2025,AutomationBench-AA,Harvey LAB-AA,Cost per Task USD,Input Price USD/1M Tokens,Output Price USD/1M Tokens,Cache Hit Price USD/1M Tokens,Cache Write Price USD/1M Tokens,Median Tokens/s,P5 Tokens/s,P25 Tokens/s,P75 Tokens/s,P95 Tokens/s,Median First Chunk (s),First Answer Token (s),P5 First Chunk (s),P25 First Chunk (s),P75 First Chunk (s),P95 First Chunk (s),Total Response (s),Reasoning Time (s),Further Analysis
claude-opus-5,amazon_bedrock,Amazon Bedrock,Claude Opus 5 (max),1M,,,,Proprietary,global.anthropic.claude-opus-5,,63,37,67%,"1,715",,89%,,42%,76%,61%,39%,55%,93%,56%,,29%,,,85%,,,,,$2.34,$5.00,$25.00,$0.50,$6.25,52,41,48,58,74,62.81,62.81,4.56,33.83,104.60,233.97,72.40,,Model Provider
claude-opus-5,anthropic,Anthropic,Claude Opus 5 (max),1M,,,,Proprietary,claude-opus-5,,63,37,67%,"1,715",,89%,,42%,76%,61%,39%,55%,93%,56%,,29%,,,85%,,,,,$2.34,$5.00,$25.00,$0.50,$6.25,52,42,47,62,74,63.92,63.92,13.31,37.14,105.52,145.32,73.58,,Model Provider
claude-opus-5,google,Google,Claude Opus 5 (max),1M,,,,Proprietary,claude-opus-5,,63,37,67%,"1,715",,89%,,42%,76%,61%,39%,55%,93%,56%,,29%,,,85%,,,,,$3.31,$5.00,$25.00,$0.50,$6.25,51,43,48,61,77,54.10,54.10,7.66,35.19,97.48,177.80,63.83,,Model Provider
kimi-k3,kimi,Kimi,Kimi K3 (max),1.05M,,,,Open,kimi-k3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$0.84,$3.00,$15.00,$0.30,,40,31,35,43,59,2.84,52.31,1.83,2.39,3.78,4.81,64.68,49.47,Model Provider
kimi-k3,fireworks,Fireworks,Kimi K3 (max),1.05M,,,,Open,accounts/fireworks/models/kimi-k3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$0.89,$3.00,$15.00,$0.30,,49,31,43,54,56,1.24,42.11,1.13,1.15,1.35,2.05,52.33,40.87,Model Provider
kimi-k3,modal,Modal,Kimi K3 (max),1.05M,,,,Open,moonshotai/Kimi-K3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$1.24,$3.00,$15.00,$0.30,,141,87,113,209,269,2.08,16.23,1.14,1.36,3.53,8.07,19.76,14.15,Model Provider
kimi-k3,togetherai,Together AI,Kimi K3 (max),1M,,,,Open,moonshotai/Kimi-K3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$1.43,$3.00,$15.00,$0.30,,38,24,31,50,95,3.42,56.63,0.89,1.11,30.56,112.70,69.94,53.22,Model Provider
kimi-k3,digitalocean,DigitalOcean,Kimi K3 (max),1.05M,,,,Open,kimi-k3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$1.01,$3.00,$15.00,$0.30,,39,15,33,45,46,1.37,52.05,0.80,0.92,2.61,3.69,64.72,50.68,Model Provider
kimi-k3,baseten,Baseten,Kimi K3 (max),1.05M,,,,Open,moonshotai/Kimi-K3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$1.26,$3.00,$15.00,$0.30,,106,54,90,125,147,1.10,19.98,0.63,0.80,1.83,3.43,24.70,18.88,Model Provider
kimi-k3,parasail,Parasail,Kimi K3 (max),1.05M,,,,Open,moonshotai/Kimi-K3,,60,20,59%,"1,541",,85%,,46%,83%,48%,47%,47%,94%,59%,,23%,41%,48%,81%,,,53%,95%,$0.78,$3.00,$15.00,$0.30,,151,73,112,199,248,1.96,15.24,1.80,1.88,2.05,2.32,18.57,13.29,Model Provider
